model,pretty_name,params_M,layers
fasttext-cc-id-300-no-oov-uncased_lr1e-4_l2,fasttext-cc-id-300,6.3,2
fasttext-4B-id-300-no-oov-uncased_lr1e-4_l2,fasttext-id4B-300,6.3,2
fasttext-cc-id-300-no-oov-uncased_lr1e-4_l4,fasttext-cc-id-300,10.7,4
fasttext-4B-id-300-no-oov-uncased_lr1e-4_l4,fasttext-id4B-300,10.7,4
albert-base-uncased-96000_lr1e-5_l12,balbert-base-96k,11.7,12
albert-base-uncased-112500_lr1e-5_l12,balbert-base-112.5k,11.7,12
albert-base-uncased-191k_lr1e-5_l12,balbert-base-191k,11.7,12
cartobert_lr1e-5_l12,cartobert,11.7,12
fasttext-cc-id-300-no-oov-uncased_lr1e-4_l6,fasttext-cc-id-300,15.1,6
fasttext-4B-id-300-no-oov-uncased_lr1e-4_l6,fasttext-id4B-300,15.1,6
scratch_lr6.25e-5_l2,scratch,38.6,2
scratch_lr6.25e-5_l4,scratch,52.8,4
scratch_lr6.25e-5_l6,scratch,67,6
babert-opensubtitle_lr1e-5_l12,babert-base-opensubtitle,110.6,12
babert-base-512_lr1e-5_l12,babert-base-id4B-512,124.5,12
babert-bpe-mlm-uncased-128-dup10-5_lr1e-5_l12,babert-base-id4B,124.5,12
bert-base-multilingual-uncased_lr1e-5_l12,bert-base-multilingual,167.4,12
xlm-roberta-base_lr1e-5_l12,xlm-roberta-base,278.7,12
babert-bpe-mlm-large-uncased-1100k_lr1e-5_l12,babert-large-id4B-1100k,335.2,24
babert-bpe-mlm-large-uncased_lr1e-5_l12,babert-large-id4B,335.2,24
babert-bpe-mlm-large-uncased-1m_lr1e-5_l12,babert-large-id4B-1000k,335.2,24
xlm-roberta-large_lr1e-5_l24,xlm-roberta-large,561,24
xlm-mlm-100-1280_lr1e-5_l24,xlm-mlm-100-1280,573.2,16
